Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       60  0.416667       15.5817       15.5817       15.5817       0.00000      0.737316E-04  0.181196E-02  -62.3057      0.712991E-01 -0.128508       525.352       0.00000      -390.118      0.227700      0.500000      0.482135E-01   20.2550      -105.849       0.00000       0.00000       0.00000       0.00000    
       61  0.423611       15.6749       15.6749       15.6749       0.00000      0.735107E-04  0.182878E-02  -63.6412      0.779717E-01 -0.127763       548.528       0.00000      -390.622      0.227700      0.500000      0.229112E-01   20.3796      -224.239       0.00000       0.00000       0.00000       0.00000    
       62  0.430556       15.8445       15.8445       15.8445       0.00000      0.744696E-04  0.183345E-02  -63.3842      0.874289E-01 -0.145267       567.920       0.00000      -391.540      0.227700      0.500000      0.382220E-01   20.3041      -127.410       0.00000       0.00000       0.00000       0.00000    
       63  0.437500       15.9559       15.9559       15.9559       0.00000      0.677636E-04  0.185882E-02  -65.4188      0.891184E-01 -0.130792       583.777       0.00000      -392.144      0.227700      0.500000      0.101324E-01   20.4425      -483.535       0.00000       0.00000       0.00000       0.00000    
       64  0.444444       16.2915       16.2915       16.2915       0.00000      0.914606E-04  0.190336E-02  -68.3534      0.934865E-01 -0.148008       614.094       0.00000      -393.968      0.227700      0.500000      0.322283E-01   20.3333      -136.949       0.00000       0.00000       0.00000       0.00000    
       65  0.451389       16.4116       16.4116       16.4116       0.00000      0.913607E-04  0.191826E-02  -69.3664      0.980637E-01 -0.154049       632.141       0.00000      -394.623      0.227700      0.500000       5.00000       4.00000       2.71069       0.00000       0.00000       0.00000       0.00000    
       66  0.458333       16.4457       16.4457       16.4457       0.00000      0.960116E-04  0.181034E-02  -59.0413      0.102301     -0.159784       650.325       0.00000      -394.809      0.227700      0.500000       5.00000       4.00000       2.71814       0.00000       0.00000       0.00000       0.00000    
       67  0.465278       16.4885       16.4885       16.4885       0.00000      0.106436E-03  0.183274E-02  -61.0360      0.103052     -0.168359       670.540       0.00000      -395.042      0.227700      0.500000       5.00000       4.00000       2.72750       0.00000       0.00000       0.00000       0.00000    
       68  0.472222       16.5327       16.5327       16.5327       0.00000      0.972741E-04  0.185996E-02  -63.4281      0.988741E-01 -0.166430       679.123       0.00000      -395.283      0.227700      0.500000       5.00000       4.00000       2.73713       0.00000       0.00000       0.00000       0.00000    
       69  0.479167       16.5764       16.5764       16.5764       0.00000      0.956600E-04  0.182353E-02  -59.7842      0.106635     -0.160031       667.062       0.00000      -395.522      0.227700      0.500000       5.00000       4.00000       2.74668       0.00000       0.00000       0.00000       0.00000    
       70  0.486111       16.6208       16.6208       16.6208       0.00000      0.919486E-04  0.186215E-02  -63.4336      0.109711     -0.156861       707.086       0.00000      -395.765      0.227700      0.500000       5.00000       4.00000       2.75639       0.00000       0.00000       0.00000       0.00000    
       71  0.493056       16.6680       16.6680       16.6680       0.00000      0.832872E-04  0.183254E-02  -60.4194      0.115625     -0.158120       696.703       0.00000      -396.023      0.227700      0.500000       5.00000       4.00000       2.76670       0.00000       0.00000       0.00000       0.00000    
       72  0.500000       16.7158       16.7158       16.7158       0.00000      0.956714E-04  0.179366E-02  -57.0933      0.120316     -0.171310       738.523       0.00000      -396.284      0.227700      0.500000       5.00000       4.00000       2.77714       0.00000       0.00000       0.00000       0.00000    
       73  0.506944       16.7709       16.7709       16.7709       0.00000      0.110430E-03  0.181199E-02  -58.5947      0.121277     -0.176838       756.294       0.00000      -396.585      0.227700      0.500000       5.00000       4.00000       2.78917       0.00000       0.00000       0.00000       0.00000    
       74  0.513889       16.8273       16.8273       16.8273       0.00000      0.111490E-03  0.183521E-02  -60.5312      0.120573     -0.174049       771.814       0.00000      -396.894      0.227700      0.500000       5.00000       4.00000       2.80149       0.00000       0.00000       0.00000       0.00000    
       75  0.520833       16.8844       16.8844       16.8844       0.00000      0.120402E-03  0.185221E-02  -61.9094      0.120202     -0.178371       783.997       0.00000      -397.207      0.227700      0.500000       5.00000       4.00000       2.81396       0.00000       0.00000       0.00000       0.00000    
       76  0.527778       16.9422       16.9422       16.9422       0.00000      0.113799E-03  0.185650E-02  -62.1125      0.122352     -0.182038       792.682       0.00000      -397.523      0.227700      0.500000       5.00000       4.00000       2.82658       0.00000       0.00000       0.00000       0.00000    
       77  0.534722       17.0009       17.0009       17.0009       0.00000      0.109918E-03  0.184274E-02  -60.5456      0.124502     -0.174054       782.088       0.00000      -397.845      0.227700      0.500000       5.00000       4.00000       2.83940       0.00000       0.00000       0.00000       0.00000    
       78  0.541667       17.0593       17.0593       17.0593       0.00000      0.114883E-03  0.184083E-02  -60.2782      0.126985     -0.174068       801.766       0.00000      -398.165      0.227700      0.500000       5.00000       4.00000       2.85215       0.00000       0.00000       0.00000       0.00000    
