time,30 cm,25 cm,20 cm,15 cm,10 cm,5 cm,air
26/05/2021 10:55,13.145776925,13.0046438083483,12.8864635033279,NaN,12.9183770400411,12.9481570601215,13.0098763649223
26/05/2021 11:05,13.1437634249959,13.0104110250699,12.8922137934329,NaN,12.9332426600666,12.9775826400284,13.0452045603152
26/05/2021 11:15,13.141953875,13.010291083351,12.9022447799892,NaN,12.9532059000931,13.0049087598058,13.0528919283256
26/05/2021 11:25,13.1396969499888,13.0133171583472,12.909761296725,NaN,12.9797352801043,13.0313905802206,13.0680475033777
26/05/2021 11:35,13.1377452999909,13.0135562083669,12.9128339167357,NaN,13.001832600224,13.0467342001853,13.0876711938013
26/05/2021 11:45,13.1356998249809,13.0165564583585,12.9195379333262,NaN,13.0181972000215,13.0565346000143,13.0974928400049
26/05/2021 11:55,13.1336555749387,13.0197269167083,12.9269046001211,NaN,13.0307976002508,13.0671246801674,13.103540860165
26/05/2021 12:05,13.131587875,13.0227968666841,12.9349277466544,NaN,13.0461094200559,13.0818718601232,13.1210712600479
26/05/2021 12:15,13.1295684249809,13.0269580250448,12.9484342870432,NaN,13.044776420517,13.0998547602277,13.1409094786488
26/05/2021 12:25,13.1275428,13.0288356416868,12.9628964133239,NaN,13.0876329000944,13.1366588002514,13.185277291627
26/05/2021 12:35,13.1259238499963,13.0318209166852,12.975534163531,NaN,13.1193981000893,13.1664133002202,13.2134676224552
26/05/2021 12:45,13.124634875,13.0344805166874,12.985317626659,NaN,13.1488590201097,13.2022376398057,13.2436410549871
26/05/2021 12:55,13.1233014,13.0387051083574,12.9932862867924,NaN,13.175971880067,13.2219261401346,13.2532956450084
26/05/2021 13:05,13.122116249966,13.0438165001269,13.002239343449,NaN,13.2014441402158,13.2390345401296,13.2607508402311
26/05/2021 13:15,13.1209953999971,13.0475346916968,13.015779843322,NaN,13.2163346000476,13.2538536400728,13.280283296701
26/05/2021 13:25,13.1200104499594,13.0533823834235,13.0298889435926,NaN,13.2301828801724,13.2608541999666,13.2931435868234
26/05/2021 13:35,13.1196236,13.0603088417001,13.0480056999867,NaN,13.2481708200541,13.2911546002213,13.3213860667491
26/05/2021 13:45,13.1192046999793,13.0646351334005,13.0575444634943,NaN,13.275128380454,13.3275385404252,13.3681590522721
26/05/2021 13:55,13.119009475,13.0716070750185,13.0723901333156,NaN,13.3086572000923,13.3617421001699,13.3945433716434
26/05/2021 14:05,13.1189673999965,13.0755284000202,13.0839827667475,NaN,13.338550740087,13.3844129601486,13.4148620719563
26/05/2021 14:15,13.11884505,13.0800539583538,13.0915289666531,NaN,13.3671519401014,13.4043282198474,13.4317880666459
26/05/2021 14:25,13.1189699000052,13.083753658356,13.1002943935198,NaN,13.3873930200407,13.4185332800723,13.4486476733529
26/05/2021 14:35,13.1192429750265,13.0914016751369,13.1142085936323,NaN,13.3977891801841,13.4228189800608,13.4531076067901
26/05/2021 14:45,13.1195989249975,13.1001948166938,13.1308558866585,NaN,13.4104510000654,13.4408816002434,13.4767569334066
26/05/2021 14:55,13.120195775024,13.1022387750162,13.1358855134094,NaN,13.4331778003101,13.482132120195,13.5252002802416
26/05/2021 15:05,13.12070495,13.1052936333563,13.148279166653,NaN,13.4551588200543,13.4854835200116,13.5431760750056
26/05/2021 15:15,13.1213451000025,13.1142559501624,13.165659553755,NaN,13.4705166603102,13.4867223400768,13.5212122094351
26/05/2021 15:25,13.122080425,13.127143700073,13.188258356646,NaN,13.4904876000719,13.5115074803798,13.5523135449134
26/05/2021 15:35,13.1231049250039,13.1376390667189,13.2067738569865,NaN,13.5224895001845,13.5857427808738,13.6578706669714
26/05/2021 15:45,13.12467315,13.1469261167156,13.2265383199775,NaN,13.5889911602398,13.6702955794629,13.7802747848629
26/05/2021 15:55,13.1263180749973,13.1557615250412,13.2506404336539,NaN,13.6642928002653,13.7565446208199,13.8980548985947
26/05/2021 16:05,13.1283016750215,13.1619234833819,13.2732262101709,NaN,13.737657720862,13.8454427005555,13.998995251418
26/05/2021 16:15,13.1303408500066,13.166004833356,13.280164933327,NaN,13.7968129002303,13.9091761205383,14.0756574066477
26/05/2021 16:25,13.1324406250572,13.1705303833918,13.2878947368213,NaN,13.8490859805939,13.9646218604013,14.0854757219436
26/05/2021 16:35,13.13436505,13.1775050583663,13.3014206333205,NaN,13.890052800123,13.9966202201619,14.0926320066381
26/05/2021 16:45,13.1364401750373,13.1830679084442,13.3093675201603,NaN,13.919896160377,14.010213820064,14.0876926331687
26/05/2021 16:55,13.13848445,13.192872908376,13.3232276466527,NaN,13.9497050000963,14.0196771600247,14.0876165583275
26/05/2021 17:05,13.1405979750135,13.2002382666985,13.3372138968667,NaN,13.979504500093,14.025208620082,14.1010807936868
26/05/2021 17:15,13.1428364,13.2065482500338,13.351927699982,NaN,14.0040936200686,14.036006619911,14.1205694666453
26/05/2021 17:25,13.1451552000087,13.2127854000349,13.368834190296,NaN,14.0216260000435,14.0503371401065,14.1349139100526
26/05/2021 17:35,13.1477472250406,13.2193646584218,13.3859988203108,NaN,14.0336816801503,14.062420760124,14.1448551268095
26/05/2021 17:45,13.1500475750058,13.2257753666919,13.4108062633131,NaN,14.0461541200467,14.0735376601467,14.135655799919
26/05/2021 17:55,13.1527101000414,13.2325018001121,13.4259928836294,NaN,14.060339500298,14.0834799396325,14.1464614862366
26/05/2021 18:05,13.15537525,13.2399740333729,13.444194936643,NaN,14.0687170200233,14.0886589800947,14.1700853700156
26/05/2021 18:15,13.1581084000522,13.2448103250573,13.4613987902376,NaN,14.0730921400378,14.0940798399955,14.166774027979
26/05/2021 18:25,13.160910775,13.2504576000302,13.4767948166502,NaN,14.0753999400035,14.0945759399867,14.161382330002
26/05/2021 18:35,13.1635427000039,13.2568478333663,13.5155644699505,NaN,14.0729533999818,14.0905749599255,14.1512275763537
26/05/2021 18:45,13.166392275,13.2644535917148,13.515204729991,NaN,14.0688055399793,14.0863234600383,14.1385326433459
26/05/2021 18:55,13.1692937500089,13.2722578667068,13.523089563478,NaN,14.0610473399636,14.0772510598825,14.1234295149737
26/05/2021 19:05,13.1723202000456,13.2777766000623,13.5341876701205,NaN,14.0468538397337,14.063554099804,14.1063872412344
26/05/2021 19:15,13.1755198000097,13.2828421166969,13.5449947066546,NaN,14.0238350599355,14.03968261987,14.0764655232715
